iter	MultiClass
181	0.5678121057
182	0.5674259362
183	0.5666267473
184	0.5658288239
185	0.5653145794
186	0.5649143587
187	0.5641936339
188	0.5636539576
189	0.5630687737
190	0.5627856579
191	0.5620898218
192	0.5617002762
193	0.5612990976
194	0.5607880637
195	0.5600892276
196	0.5594043581
197	0.55898908
198	0.5582341889
199	0.5576755382
200	0.5570075195
201	0.5564856367
202	0.5562111342
203	0.5556053133
204	0.5549600068
205	0.5545770846
206	0.5542356892
207	0.5537590615
208	0.5532904317
209	0.5527341743
210	0.5522357625
211	0.5517553221
212	0.5514702403
213	0.5509370378
214	0.5503962285
215	0.5498730082
216	0.5493309502
217	0.5485575889
218	0.5481646444
219	0.5477530153
220	0.5473739021
221	0.5468925015
222	0.5465407197
223	0.5462267316
224	0.5456635374
225	0.5453430247
226	0.5448042707
227	0.5444652704
228	0.5438160637
229	0.5434480099
230	0.5430291692
231	0.5424896196
232	0.5420856659
233	0.5417153012
234	0.5414057611
235	0.5408903523
236	0.5402315637
237	0.539609311
238	0.539134248
239	0.538851777
240	0.5383389363
241	0.538036787
242	0.5376845781
243	0.5372040663
244	0.5365719771
245	0.5362989608
246	0.5359554934
247	0.5353672587
248	0.535094956
249	0.5347312056
250	0.534248253
251	0.5338326547
252	0.5333502861
253	0.5329481682
254	0.532603487
255	0.5321692397
256	0.5318218412
257	0.5314520317
258	0.531084037
259	0.5306737342
260	0.5303457413
261	0.5301692104
262	0.5297955143
263	0.5295937557
264	0.5292749635
265	0.5289830345
266	0.5285343808
267	0.5280977806
268	0.5276971748
269	0.527305996
270	0.5269774605
271	0.5266109603
272	0.526125925
273	0.5257755488
274	0.5253263752
275	0.5250647888
276	0.5245337949
277	0.5242575276
278	0.5238287104
279	0.5233427339
280	0.5231086331
281	0.5225858978
282	0.5221701532
283	0.5217507943
284	0.5212893418
285	0.5208737525
286	0.5205561338
287	0.5203956602
288	0.5200809358
289	0.5198345942
290	0.5194926703
291	0.5190340343
292	0.5187767653
293	0.5183641935
294	0.5180654224
295	0.5177505017
296	0.517487381
297	0.5171289321
298	0.516705413
299	0.5162766264
300	0.5158952791
301	0.515498054
302	0.5151898668
303	0.5147832103
304	0.5144316892
305	0.5140302278
306	0.5138580766
307	0.5135285226
308	0.513252662
309	0.5127758557
310	0.512512403
311	0.5122051482
312	0.5117323159
313	0.5114025009
314	0.5110553386
315	0.5108019545
316	0.5105566318
317	0.510278516
318	0.5099665902
319	0.5094136415
320	0.5091691924
321	0.5088518919
322	0.5085001195
323	0.5081150378
324	0.507710059
325	0.5074290464
326	0.5070117945
327	0.5066127512
328	0.506177215
329	0.506006491
330	0.5057216037
331	0.5055090823
332	0.5052244404
333	0.5049860631
334	0.5044990391
335	0.5040652521
336	0.5037583286
337	0.5035623054
338	0.5034110872
339	0.5031208288
340	0.5029332453
341	0.5026736044
342	0.5024745283
343	0.5022404241
344	0.5018525589
345	0.501619692
346	0.5012134209
347	0.5007790736
348	0.5003970708
349	0.5001412284
350	0.499960509
351	0.4996556147
352	0.4992334804
353	0.4990865773
354	0.4988615075
355	0.4984761365
356	0.4981233121
357	0.497858456
358	0.4976585806
359	0.4973630746
360	0.4971206766
361	0.4967473809
362	0.4963690574
363	0.4961541335
364	0.4959557489
365	0.4956498238
366	0.4953450304
367	0.4950005829
368	0.4946634069
369	0.4945773376
370	0.4941537404
371	0.4938218813
372	0.4934383103
373	0.4931789477
374	0.4927161746
375	0.4923902841
376	0.4919771636
377	0.4918018186
378	0.4914399226
379	0.4913192956
380	0.4910651034
381	0.4907732796
382	0.4905719735
383	0.4900953277
384	0.4897771617
385	0.4895014208
386	0.4891682877
387	0.4890222879
388	0.4888302979
389	0.4885141876
390	0.4881530035
391	0.4877275843
392	0.4873341379
393	0.4870315541
394	0.4868048949
395	0.4865476787
396	0.4863698095
397	0.486228378
398	0.4859934859
399	0.4857062454
400	0.4854841157
401	0.4853256633
402	0.4851702677
403	0.484976088
404	0.4845917276
405	0.4842141787
406	0.483981148
407	0.4838280981
408	0.4835102605
409	0.4833433826
410	0.4831530696
411	0.482968499
412	0.4825812771
413	0.4823423511
414	0.4820622377
415	0.4817450468
416	0.4814442697
417	0.4811679483
418	0.4806935305
419	0.4804455432
420	0.480212026
421	0.4798642335
422	0.4796326453
423	0.4792732943
424	0.4790580544
425	0.4787992327
426	0.4786581235
427	0.4783352516
428	0.478037451
429	0.4776961908
430	0.477452625
431	0.4771865399
432	0.4770044799
433	0.4768137874
434	0.4766376269
435	0.4764440869
436	0.4762190487
437	0.4759530434
438	0.4756998954
439	0.4754504392
440	0.4751541236
441	0.474959137
442	0.4748776323
443	0.4747525997
444	0.4745459647
445	0.4744159969
446	0.474152774
447	0.4738932068
448	0.473693554
449	0.4734946043
450	0.4733035469
451	0.4731086912
452	0.4728638342
453	0.472680617
454	0.472501463
455	0.4722630218
456	0.4720309854
457	0.4718721219
458	0.4716292866
459	0.4714027624
460	0.4711890853
461	0.471006345
462	0.470791499
463	0.4705267091
464	0.4703757424
465	0.4701318141
466	0.4698472426
467	0.4696304867
468	0.4693754089
469	0.4690382523
470	0.4688098394
471	0.4685600371
472	0.4683339975
473	0.4680335122
474	0.4679107509
475	0.4676853383
476	0.467477807
477	0.4673692635
478	0.4672156959
479	0.4670689251
480	0.4669201952
481	0.4667744454
482	0.4666676116
483	0.4665063928
484	0.4662519169
485	0.465879257
486	0.4657112552
487	0.4655049209
488	0.4652617246
489	0.4651067846
490	0.4648698675
491	0.4646605983
492	0.4644706264
493	0.4642625007
494	0.4641472018
495	0.4639997817
496	0.4637638625
497	0.4635778827
498	0.4633899534
499	0.4632900889
500	0.4630399416
501	0.462806477
502	0.4625854358
503	0.462389844
504	0.462199747
505	0.4620274302
506	0.4618247602
507	0.4615566021
508	0.461276321
509	0.4611067852
510	0.4609644703
511	0.4607620879
512	0.4606341264
513	0.4605148442
514	0.4603161867
515	0.4601126174
516	0.4598906189
517	0.4596677734
518	0.459494206
519	0.4593272205
520	0.4591096438
521	0.4589333532
522	0.4587779923
523	0.4585232958
524	0.4583856849
525	0.4582528795
526	0.4580856812
527	0.4579407564
528	0.4577715845
529	0.4575910176
530	0.4574664548
531	0.4572388677
532	0.4570806698
533	0.456916962
534	0.4567817934
535	0.4566053491
536	0.4564256194
537	0.4562245965
538	0.4560854786
539	0.4558189119
540	0.4556298648
541	0.4553747433
542	0.455156388
543	0.4550460871
544	0.4548216843
545	0.4546401515
546	0.4544860796
547	0.4543826806
548	0.4542053659
549	0.454029758
550	0.4539275698
551	0.4536643878
552	0.4534542177
553	0.4531861823
554	0.452944751
555	0.4527213077
556	0.4525379148
557	0.4523902907
558	0.4522174117
559	0.4520861424
560	0.4519034941
561	0.4516622363
562	0.4514772519
563	0.4512421449
564	0.4509872923
565	0.4507749006
566	0.4506272948
567	0.4503737149
568	0.4501944356
569	0.4500689495
570	0.4499642364
571	0.4496552551
572	0.4495208384
573	0.4493573762
574	0.4491712588
575	0.4489704672
576	0.4488214329
577	0.4487116195
578	0.4484808434
579	0.4483237147
580	0.448156015
581	0.4481000149
582	0.4480122596
583	0.447749881
584	0.4475706333
585	0.4474967124
586	0.4474001399
587	0.4472882263
588	0.4472387597
589	0.4470082921
590	0.4468838291
591	0.4466836066
592	0.4465021086
593	0.4463548523
594	0.4462638006
595	0.4460559812
596	0.4459261328
597	0.4458013394
598	0.445587507
599	0.445324772
600	0.4451716685
601	0.4449779819
602	0.44478501
603	0.4446382126
604	0.4444340428
605	0.4442709024
606	0.4441081381
607	0.4439573753
608	0.4437441953
609	0.4435684714
610	0.443466898
611	0.443152174
612	0.4430014317
613	0.4428489427
614	0.4426671681
615	0.4424551793
616	0.4423750023
617	0.4422625718
618	0.4420939666
619	0.4419682323
620	0.4418080248
621	0.4417155011
622	0.4415344246
623	0.441323394
624	0.4412182699
625	0.4410444942
626	0.4408279432
627	0.4406644089
628	0.4405067899
629	0.4403406017
630	0.4401172553
631	0.4399488581
632	0.4396648791
633	0.4395297649
634	0.4393614495
635	0.4392136624
636	0.4390452739
637	0.4389111631
638	0.4387996929
639	0.4386161981
640	0.4385095685
641	0.4383534171
642	0.4382007503
643	0.4380614605
644	0.4379437988
645	0.4378722592
646	0.437699511
647	0.4375323642
648	0.437352199
649	0.4372289802
650	0.4369613404
651	0.4367387825
652	0.4365523651
653	0.4363807296
654	0.4362627031
655	0.4360977122
656	0.435892062
657	0.4357583441
658	0.4356492196
659	0.4355654476
660	0.4354867549
661	0.4352966241
662	0.4351943035
663	0.4350905918
664	0.434880744
665	0.4346927454
666	0.4344744927
667	0.4344069474
668	0.434323472
669	0.4342175806
670	0.4341339362
671	0.4338770075
672	0.433713492
673	0.4335054602
674	0.4333948337
675	0.4332229178
676	0.4331196947
677	0.4330537745
678	0.4328645519
679	0.4327095514
680	0.4325487177
681	0.4323948927
682	0.4322241908
683	0.4321427455
684	0.4320661691
685	0.4319144794
686	0.431817222
687	0.4317294128
688	0.4316317702
689	0.4315117316
690	0.4314049485
691	0.4312568727
692	0.4311060953
693	0.4309424376
694	0.4308002462
695	0.4306392519
696	0.430561148
697	0.4304442138
698	0.4303438432
699	0.4302583215
700	0.4301514303
701	0.4299783936
702	0.429920757
703	0.4298310946
704	0.4297300803
705	0.4295895897
706	0.4295065114
707	0.4293931126
708	0.4292699699
709	0.4291164115
710	0.4289459701
711	0.4287820487
712	0.4285795392
713	0.4284483345
714	0.4282444429
715	0.4281129667
716	0.4279534792
717	0.4278188027
718	0.4276787521
719	0.4275292046
720	0.4274255008
721	0.4273097816
722	0.427174824
723	0.4270748576
724	0.4269771886
725	0.4268696569
726	0.4267706784
727	0.4265515315
728	0.426371618
729	0.4261918005
730	0.4260441191
731	0.4258956456
732	0.425805298
733	0.4256362932
734	0.4255139562
735	0.4253349154
736	0.4252617388
737	0.4251458143
738	0.4250057222
739	0.4248994754
740	0.4248006038
741	0.4246310407
742	0.424538984
743	0.4243821794
744	0.4242545646
745	0.4241580324
746	0.4240223831
747	0.4238888095
748	0.423766038
749	0.4236085734
750	0.4234771171
751	0.4233770332
752	0.4232378031
753	0.4230362908
754	0.422893384
755	0.4227481659
756	0.4225756451
757	0.4224616552
758	0.4223449196
759	0.4221563266
760	0.4220270614
761	0.4219191512
762	0.4217823556
763	0.4216903776
764	0.4215827173
765	0.4215008339
766	0.4213049219
767	0.4211013705
768	0.4209551964
769	0.4207831457
770	0.4207043063
771	0.4205959807
772	0.4205238235
773	0.4204101029
774	0.4202895197
775	0.4201524017
776	0.4200121353
777	0.4199355959
778	0.4198212654
779	0.4197114465
780	0.419643463
781	0.419518021
782	0.4194545039
783	0.419348969
784	0.4192743211
785	0.4191625351
786	0.4190888597
787	0.4189909657
788	0.4189075866
789	0.4187884308
790	0.4186196264
791	0.4184489366
792	0.4183825879
793	0.418294497
794	0.4182315662
795	0.4181171248
796	0.4179358545
797	0.4178113993
798	0.4176404422
799	0.4175512632
800	0.4174879144
801	0.41740226
802	0.4172336273
803	0.4171461923
804	0.417013376
805	0.4168861894
806	0.4167139934
807	0.4165900898
808	0.4164814335
809	0.4163869032
810	0.416260282
811	0.4161857507
812	0.4160943432
813	0.415969852
814	0.4158686997
815	0.4156665989
816	0.4155777438
817	0.4154936809
818	0.4154076176
819	0.4152797258
820	0.4151927697
821	0.415084846
822	0.4149519982
823	0.4148455451
824	0.414613206
825	0.4145110112
826	0.4144355533
827	0.4143023067
828	0.4141607035
829	0.4140978432
830	0.414037939
831	0.4139942691
832	0.4139072431
833	0.4138058107
834	0.4137166961
835	0.4136396423
836	0.4135281649
837	0.4133948017
838	0.4132954168
839	0.4131794057
840	0.4131489039
841	0.4130287549
842	0.412897571
843	0.4127840982
844	0.4126507635
845	0.4125241516
846	0.4124722588
847	0.41234879
848	0.4122996128
849	0.4121688407
850	0.4120123222
851	0.4118507956
852	0.4117395864
853	0.4116879098
854	0.4116123326
855	0.4115465732
856	0.4114817671
857	0.4114169414
858	0.4113204869
859	0.4112264788
860	0.411109208
861	0.4110040214
862	0.4109162022
863	0.4108234578
864	0.4107577366
865	0.4105319387
866	0.4104458739
867	0.410354087
868	0.410262931
869	0.4101538621
870	0.4100397144
871	0.4099241975
872	0.4097996642
873	0.4097502824
874	0.4096473346
875	0.4095727017
876	0.4095200435
877	0.4094286217
878	0.409334678
879	0.4092453591
880	0.4091604944
881	0.4090472327
882	0.4089870195
883	0.4088606087
884	0.4087366909
885	0.4086130087
886	0.4085387634
887	0.4084774185
888	0.4083732891
889	0.4083138778
890	0.4081965244
891	0.4081248593
892	0.4080547713
893	0.4079656316
894	0.4078955127
895	0.4077535908
896	0.407590093
897	0.4074105779
898	0.4072923964
899	0.4071889088
900	0.4070840687
901	0.4069848992
902	0.4068926701
903	0.406775261
904	0.4066983405
905	0.4065459148
906	0.4064720154
907	0.4063885757
908	0.4063358082
909	0.4062534333
910	0.4061671475
911	0.406044691
912	0.4059639856
913	0.4059012754
914	0.4057869853
915	0.4056757577
916	0.4055700808
917	0.4054862583
918	0.4054016628
919	0.405361039
920	0.4052390197
921	0.4051824363
922	0.4050880068
923	0.4050265366
924	0.4049729433
925	0.4048834677
926	0.4048137634
927	0.4047528748
928	0.404684535
929	0.4045771236
930	0.4045133793
931	0.4044616714
932	0.404382701
933	0.4042951135
934	0.4042317755
935	0.4040622041
936	0.4039361285
937	0.4038476354
938	0.4037567859
939	0.403724256
940	0.4036547169
941	0.4035038408
942	0.4034027821
943	0.403266163
944	0.4031583971
945	0.4030408601
946	0.4029902406
947	0.402924959
948	0.4027937541
949	0.4026758556
950	0.4026242324
951	0.4025379007
952	0.402450031
953	0.4023355055
954	0.4022324806
955	0.4021474166
956	0.4020855493
957	0.4020205951
958	0.4019219637
959	0.40185669
960	0.4017518263
961	0.4017042189
962	0.4016621467
963	0.4016094885
964	0.4014934352
965	0.4014026098
966	0.4013029178
967	0.4012100025
968	0.4011378215
969	0.401081297
970	0.4010290307
971	0.4009839303
972	0.4008653807
973	0.4007918045
974	0.4007290374
975	0.400677947
976	0.4005561751
977	0.4004297655
978	0.4003851797
979	0.4002652856
980	0.4001371268
981	0.400092472
982	0.4000368654
983	0.3998779173
984	0.3997072944
985	0.3996572014
986	0.3995808391
987	0.3994359347
988	0.3993522513
989	0.3992814338
990	0.3992072926
991	0.3991028327
992	0.399044224
993	0.3989561182
994	0.3988918746
995	0.398830015
996	0.3987778426
997	0.3986991294
998	0.3985853609
999	0.3985435631
