ESTU;REGISTRO;ID_CIS;MODE;FECHAINI;HORAINI;FECHAFIN;HORAFIN;DURACION;IDSCREEN;CCAA;PROV;MUN;TAMUNI;NACIONALIDAD;PAIS_NACIONALIDAD;SEXO;BIRTH;MES_NACIMIENTO;DECADA;URBRURAL;INTERNET;QTIME_1;QTIME_2;QTIME_3;INTERNETHH;INTERNETMM;HORA_INCIO_V;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61_1;V61_2;V61_3;V61B;V62;HORA_FIN_VISSP;UNION_1;INTPOL;LEFT_RIGHT;IDEOL_CATEG_1;IDEOL_CATEG_2;C_SATISFVIDA_24;LUGAR_NAC;PROV_NAC;PAIS_NACIMIENTO;YEAR_ARRIVAL;F_BORN;F_BORN1;M_BORN;M_BORN1;FATH_WORK;FATH_ISCO08;FATH_NAT_DEGR;MOTH_WORK;MOTH_ISCO08;MOTH_NAT_DEGR;GENDER_ID;ORIENTAC_SEXUAL;NAT_DEGR;EDUCYRS;REPETICION;EDAD_REPETICION;TIPO_COLEGIO;TIPO_COLEGIO_2;WORK_1;C_SATISFTRABAJO;WRKHRS;EMPREL;WRKSUP;NSUP;TYPORG1;ISCO08;NACE_2;MAINSTAT_M_1;MAINSTAT_M_2;MAINSTAT_M_3;MAINSTAT_M_4;MAINSTAT_M_5;MAINSTAT_M_6;MAINSTAT_M_7;MAINSTAT_M_8;MAINSTAT_M_9;MAINSTAT_M;MAINSTAT;PARTLIV;SPNAT_DEGR;SPWORK;SPWRKHRS;SPEMPREL;SPWRKSUP;SPISCO08;SPNACE_2;SPMAINST_M_1;SPMAINST_M_2;SPMAINST_M_3;SPMAINST_M_4;SPMAINST_M_5;SPMAINST_M_6;SPMAINST_M_7;SPMAINST_M_8;SPMAINST_M_9;SPMAINST_M;SPMAINST;MARITAL;NBCHLD_LS18_1;NBCHLD_LS18_2;NBCHLD_GT18_1;NBCHLD_GT18_2;CHILD_D;NAT_RELIG;ATTEND;TOPBOT;TOPBOT_PADRES;TOPBOT_HIJOS;MERIT;VOTE_LE;NAT_PRTY;NAT_ETHN_1;NAT_ETHN_2;HOMPOP_TOT;HMP_SB_1;HMP_SB_2;HMP_SB_3;HMP_SB_4;HMP_SB_5;HMP_SB_6;HMP_SB_7;HMP_SB_8;HMP_SB_9;HMP_SB_10;HMP_GD_1;HMP_GD_2;HMP_GD_3;HMP_GD_4;HMP_GD_5;HMP_GD_6;HMP_GD_7;HMP_GD_8;HMP_GD_9;HMP_GD_10;HMP_YR_1;HMP_YR_2;HMP_YR_3;HMP_YR_4;HMP_YR_5;HMP_YR_6;HMP_YR_7;HMP_YR_8;HMP_YR_9;HMP_YR_10;NAT_INC;NAT_RINC;DIFICULT_ECO;HORA_FINC;ENC1;ENC2;ENC2A_1;ENC2A_2;ENC3;ENC3A_CAWI_1;ENC3A_CAWI_2;ENC3A_CAWI_3;ENC3A_CAWI_4;ENC3A_CAWI_5;ENC3A_CAWI_96;ENC3A_CAWI_99;ENC3A_PAPEL_1;ENC3A_PAPEL_2;ENC3A_PAPEL_3;ENC3A_PAPEL_4;ENC3A_PAPEL_5;ENC3A_PAPEL_96;ENC3A_PAPEL_99;ENC4;ENC5;IA_E1_DIA;IA_E1_MES;IA_E1_ANYO;IA_E2;IA_E3;IA_E4;IA_VALIDA;IA_APLAZADA;IA_MODIFICADA;IA_SUPERVISADA;IA_C2;IA_C2A;IA_C3;IA_C4;GRABADOR;PARTIALS;EDAD;INTERNETOT;COB_SANITARIA;FATH_OCUPAISCO08;MOTH_OCUPAISCO08;ESTUDIOS;OCUPAISCO08;RAMA;SITLAB;ISCO08R;SPESTUDIOS;OCUPASPISCO08;SPRAMA;SPSITLAB;NBCHLD_TOT;RELIGION;RECUERDO;NIVELEDU;PESODIS;PESO;PESOFIN
3462.0;1852.0;204.0;34.0;N.P.;N.P.;N.P.;N.P.;;N.P.;1.0;14.0;0.0;1.0;1.0;;2.0;1981.0;9.0;;4.0;5.0;1.0;0.0;0.0;5.0;99.0;N.P.;2.0;3.0;5.0;4.0;5.0;3.0;2.0;8.0;1.0;1.0;2.0;3.0;8.0;4.0;2.0;2.0;2.0;4.0;3.0;3.0;1.0;1.0;5.0;3.0;5.0;2.0;2.0;1.0;2.0;2.0;5.0;5.0;4.0;5.0;4.0;3.0;3.0;3.0;1.0;3.0;3.0;3.0;2.0;5.0;4.0;98.0;2.0;1.0;4.0;5.0;4.0;2.0;156.0;58.0;2.0;2.0;3.0;3.0;1.0;3.0;1.0;2.0;2.0;;;N.P.;3.0;3.0;1.0;4.0;9.0;5.0;1.0;14.0;;;1.0;;1.0;;1.0;7112.0;2.0;3.0;;3.0;2.0;1.0;7.0;12.0;2.0;;1.0;3.0;1.0;8.0;35.0;1.0;2.0;;1.0;9112.0;86.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;2.0;11.0;1.0;50.0;1.0;1.0;3131.0;43.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;;6.0;0.0;1.0;0.0;0.0;3.0;1.0;6.0;5.0;4.0;99.0;9.0;1.0;97.0;1.0;2.0;3.0;3.0;3.0;;;;;;;;;1.0;2.0;;;;;;;;;1952.0;1954.0;;;;;;;;;77.0;77.0;3.0;N.P.;3.0;2.0;;;3.0;;;;;;;;;;;;;;;5.0;05/06/2024;5.0;6.0;24.0;3.0;;;1.0;0.0;0.0;0.0;1.0;;;0.0;0.0;1.0;42.0;5.0;2.0;7.0;;3.0;9.0;4.0;1.0;9.0;6.0;3.0;3.0;1.0;1.0;2.0;97.0;2.0;0.99977;1.20672;1.23384
3462.0;1814.0;206.0;34.0;N.P.;N.P.;N.P.;N.P.;;N.P.;1.0;23.0;0.0;2.0;1.0;;1.0;1962.0;1.0;;3.0;3.0;;;;;;N.P.;3.0;3.0;5.0;4.0;5.0;5.0;4.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;4.0;4.0;4.0;2.0;4.0;3.0;2.0;3.0;5.0;5.0;4.0;1.0;8.0;4.0;4.0;2.0;2.0;2.0;1.0;1.0;3.0;1.0;3.0;3.0;1.0;2.0;4.0;4.0;98.0;1.0;6.0;6.0;4.0;3.0;2.0;175.0;100.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;9.0;9.0;;;N.P.;3.0;4.0;0.0;7.0;99.0;6.0;1.0;23.0;;;1.0;;1.0;;1.0;7112.0;1.0;3.0;;1.0;1.0;1.0;3.0;7.0;2.0;;1.0;2.0;2.0;;;3.0;1.0;9.0;3.0;9998.0;41.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;1.0;4.0;2.0;;1.0;2.0;9998.0;13.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;3.0;0.0;0.0;2.0;0.0;8.0;1.0;8.0;5.0;5.0;7.0;10.0;1.0;2.0;1.0;2.0;2.0;1.0;;;;;;;;;;2.0;;;;;;;;;;1961.0;;;;;;;;;;2.0;99.0;1.0;N.P.;2.0;2.0;;;3.0;;;;;;;;;;;;;;;2.0;02/06/2024;2.0;6.0;24.0;7.0;;;1.0;0.0;0.0;0.0;1.0;;;0.0;0.0;1.0;62.0;;2.0;7.0;;2.0;98.0;3.0;2.0;16.0;5.0;98.0;2.0;2.0;2.0;2.0;2.0;1.0;1.00135;1.1177;0.64896
3462.0;2128.0;207.0;34.0;N.P.;N.P.;N.P.;N.P.;;N.P.;1.0;11.0;0.0;2.0;1.0;;2.0;1944.0;1.0;;4.0;2.0;;;;;;N.P.;3.0;1.0;5.0;8.0;1.0;5.0;5.0;1.0;4.0;3.0;3.0;3.0;3.0;5.0;8.0;4.0;2.0;4.0;1.0;5.0;5.0;6.0;2.0;2.0;1.0;8.0;5.0;4.0;4.0;1.0;4.0;5.0;2.0;2.0;1.0;1.0;8.0;3.0;3.0;2.0;9.0;3.0;1.0;1.0;1.0;2.0;1.0;1.0;5.0;6.0;3.0;1.0;149.0;55.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;9.0;9.0;;;N.P.;3.0;4.0;77.0;6.0;99.0;5.0;1.0;11.0;;;1.0;;1.0;;8.0;7522.0;98.0;9.0;;98.0;2.0;1.0;3.0;998.0;9.0;;1.0;3.0;3.0;;;;;;;;;;;;;;;;;1.0;9.0;;1.0;98.0;9.0;;;;;;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;7.0;;3.0;0.0;0.0;0.0;4.0;4.0;1.0;5.0;98.0;98.0;98.0;0.0;1.0;97.0;1.0;2.0;3.0;9.0;9.0;;;;;;;;;9.0;9.0;;;;;;;;;9999.0;9999.0;;;;;;;;;77.0;77.0;8.0;N.P.;3.0;9.0;;;3.0;;;;;;;;;;;;;;;5.0;16/06/2024;16.0;6.0;24.0;7.0;;;1.0;0.0;0.0;0.0;1.0;;;0.0;0.0;1.0;80.0;;2.0;7.0;;2.0;;;9.0;99.0;8.0;;;7.0;4.0;2.0;97.0;1.0;1.00135;1.1177;1.96783
3462.0;1796.0;210.0;34.0;N.P.;N.P.;N.P.;N.P.;;N.P.;1.0;23.0;0.0;2.0;1.0;;2.0;1968.0;9.0;;4.0;5.0;1.0;0.0;0.0;6.0;99.0;N.P.;4.0;3.0;3.0;2.0;5.0;4.0;5.0;4.0;4.0;2.0;3.0;3.0;3.0;4.0;4.0;3.0;3.0;4.0;2.0;2.0;4.0;4.0;3.0;3.0;2.0;2.0;2.0;4.0;3.0;2.0;4.0;4.0;1.0;3.0;1.0;1.0;1.0;3.0;1.0;2.0;2.0;2.0;4.0;4.0;3.0;10.0;3.0;1.0;4.0;4.0;4.0;9.0;155.0;76.0;1.0;1.0;2.0;1.0;1.0;3.0;1.0;2.0;2.0;;;N.P.;1.0;2.0;6.0;98.0;99.0;8.0;1.0;23.0;;;1.0;;1.0;;2.0;9211.0;1.0;3.0;;1.0;2.0;1.0;8.0;998.0;2.0;;2.0;1.0;1.0;6.0;20.0;1.0;2.0;;3.0;3313.0;13.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;13.0;1.0;40.0;1.0;2.0;8211.0;29.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;;3.0;0.0;2.0;0.0;0.0;2.0;1.0;3.0;98.0;6.0;1.0;98.0;1.0;98.0;1.0;2.0;4.0;1.0;2.0;2.0;;;;;;;;1.0;2.0;2.0;;;;;;;;1969.0;2013.0;2009.0;;;;;;;;3.0;1.0;1.0;N.P.;3.0;2.0;;;3.0;;;;;;;;;;;;;;;3.0;02/06/2024;2.0;6.0;24.0;7.0;;;1.0;0.0;0.0;0.0;1.0;;;0.0;0.0;1.0;55.0;6.0;2.0;9.0;;4.0;3.0;2.0;1.0;3.0;6.0;8.0;2.0;1.0;2.0;2.0;98.0;3.0;1.00135;1.1177;1.0993
3462.0;1419.0;211.0;41.0;04/06/2024;21:23:14;04/06/2024;21:46:12;1376.0;"393;876";1.0;29.0;0.0;2.0;1.0;;1.0;1969.0;6.0;;3.0;4.0;1.0;0.0;0.0;5.0;99.0;21:24:09;2.0;2.0;4.0;3.0;5.0;4.0;3.0;3.0;3.0;2.0;3.0;3.0;2.0;2.0;2.0;2.0;5.0;3.0;1.0;4.0;4.0;3.0;3.0;1.0;1.0;3.0;2.0;5.0;3.0;2.0;5.0;4.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;3.0;3.0;3.0;2.0;2.0;2.0;10.0;2.0;6.0;6.0;5.0;3.0;1.0;178.0;96.0;2.0;1.0;3.0;1.0;2.0;3.0;1.0;2.0;1.0;;;21:36:46;3.0;2.0;5.0;4.0;5.0;9.0;1.0;29.0;;;1.0;;1.0;;1.0;4110.0;9.0;3.0;;4.0;1.0;1.0;8.0;17.0;2.0;;2.0;1.0;1.0;6.0;40.0;1.0;2.0;;3.0;5223.0;47.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;6.0;1.0;20.0;1.0;2.0;9112.0;55.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;;3.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;5.0;5.0;6.0;4.0;2.0;;1.0;2.0;2.0;1.0;;;;;;;;;;2.0;;;;;;;;;;1974.0;;;;;;;;;;5.0;3.0;3.0;21:45:45;3.0;2.0;;;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;N.P.;4.0;6.0;24.0;2.0;23.0;4.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;55.0;5.0;6.0;4.0;;4.0;5.0;4.0;1.0;5.0;3.0;9.0;4.0;1.0;1.0;2.0;90.0;3.0;1.00135;1.1177;0.72018
3462.0;1199.0;213.0;41.0;26/05/2024;16:56:04;26/05/2024;17:57:08;3663.0;"1920;1080";1.0;14.0;0.0;2.0;1.0;;1.0;1985.0;11.0;;3.0;5.0;1.0;1.0;0.0;10.0;20.0;17:02:14;4.0;3.0;2.0;4.0;4.0;4.0;5.0;1.0;1.0;2.0;4.0;3.0;2.0;2.0;2.0;2.0;2.0;4.0;4.0;2.0;2.0;5.0;2.0;4.0;5.0;4.0;2.0;2.0;2.0;4.0;4.0;4.0;1.0;4.0;3.0;3.0;3.0;3.0;1.0;2.0;2.0;1.0;5.0;4.0;5.0;3.0;3.0;1.0;2.0;6.0;3.0;1.0;170.0;90.0;4.0;4.0;4.0;1.0;4.0;3.0;1.0;2.0;2.0;;;17:28:20;3.0;4.0;8.0;10.0;1.0;4.0;1.0;14.0;;;1.0;;1.0;;2.0;6114.0;98.0;3.0;;98.0;1.0;1.0;3.0;9.0;1.0;13.0;1.0;3.0;1.0;3.0;998.0;3.0;1.0;6.0;3.0;1324.0;49.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;3.0;;;;;;;;;;;;;;;;;;;1.0;;;;;4.0;0.0;8.0;4.0;7.0;4.0;3.0;2.0;;1.0;99.0;3.0;4.0;6.0;;;;;;;;;2.0;1.0;;;;;;;;;2000.0;1993.0;;;;;;;;;5.0;5.0;3.0;17:55:27;3.0;2.0;;;3.0;;;;;;;;;;;;;;;;N.P.;26.0;5.0;24.0;7.0;62.0;3.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;38.0;10.33;2.0;6.0;;2.0;1.0;4.0;1.0;1.0;;;;;0.0;1.0;90.0;1.0;1.00135;1.1177;1.05226
3462.0;335.0;216.0;41.0;14/05/2024;15:44:54;14/05/2024;16:40:30;3334.0;"407;904";1.0;41.0;0.0;2.0;1.0;;1.0;1970.0;8.0;;4.0;5.0;1.0;0.0;0.0;4.0;99.0;15:47:27;4.0;2.0;4.0;2.0;5.0;4.0;4.0;4.0;1.0;1.0;3.0;3.0;3.0;4.0;2.0;2.0;2.0;4.0;2.0;3.0;3.0;5.0;2.0;2.0;2.0;5.0;4.0;4.0;4.0;2.0;4.0;4.0;4.0;5.0;4.0;4.0;5.0;3.0;2.0;2.0;2.0;2.0;5.0;3.0;4.0;98.0;2.0;1.0;1.0;2.0;3.0;1.0;175.0;108.0;1.0;1.0;8.0;1.0;1.0;3.0;1.0;2.0;1.0;;;16:14:17;3.0;2.0;5.0;1.0;9.0;5.0;1.0;41.0;;;1.0;;1.0;;1.0;6114.0;3.0;3.0;;3.0;1.0;1.0;13.0;20.0;1.0;7.0;1.0;3.0;1.0;6.0;42.0;1.0;2.0;;3.0;9333.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;13.0;1.0;42.0;1.0;1.0;3152.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;;3.0;1.0;1.0;0.0;1.0;3.0;1.0;5.0;4.0;5.0;6.0;8.0;1.0;1.0;1.0;2.0;5.0;1.0;2.0;2.0;2.0;;;;;;;2.0;2.0;1.0;2.0;;;;;;;1973.0;2003.0;2008.0;2018.0;;;;;;;5.0;97.0;1.0;16:38:30;2.0;8.0;;;3.0;;;;;;;;;;;;;;;;N.P.;14.0;5.0;24.0;2.0;56.0;3.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;53.0;4.0;6.0;6.0;;6.0;9.0;2.0;1.0;9.0;6.0;3.0;1.0;1.0;3.0;2.0;1.0;4.0;1.00135;1.1177;0.668
3462.0;584.0;217.0;41.0;15/05/2024;22:33:27;15/05/2024;22:50:18;1003.0;"393;873";1.0;41.0;0.0;2.0;1.0;;2.0;1982.0;10.0;;4.0;4.0;1.0;0.0;0.0;3.0;99.0;22:34:25;3.0;5.0;3.0;1.0;4.0;1.0;4.0;4.0;4.0;1.0;1.0;3.0;3.0;2.0;1.0;3.0;5.0;4.0;4.0;4.0;1.0;5.0;2.0;2.0;4.0;3.0;2.0;5.0;4.0;1.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;1.0;2.0;3.0;1.0;2.0;6.0;3.0;3.0;1.0;1.0;2.0;2.0;3.0;2.0;160.0;60.0;4.0;4.0;9.0;4.0;4.0;3.0;1.0;2.0;2.0;;;22:42:29;3.0;2.0;2.0;3.0;10.0;6.0;1.0;41.0;;;1.0;;1.0;;2.0;7127.0;9.0;1.0;4120.0;4.0;2.0;1.0;4.0;998.0;1.0;16.0;1.0;2.0;1.0;8.0;20.0;1.0;2.0;;3.0;4412.0;53.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;10.0;1.0;40.0;1.0;2.0;7221.0;24.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;;3.0;1.0;0.0;0.0;0.0;2.0;0.0;8.0;4.0;7.0;5.0;8.0;1.0;1.0;1.0;2.0;3.0;1.0;2.0;;;;;;;;;1.0;1.0;;;;;;;;;1985.0;2015.0;;;;;;;;;77.0;77.0;3.0;22:49:59;3.0;1.0;;;3.0;;;;;;;;;;;;;;;;N.P.;15.0;5.0;24.0;3.0;17.0;5.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;41.0;3.0;2.0;7.0;4.0;5.0;4.0;4.0;1.0;4.0;4.0;7.0;2.0;1.0;1.0;1.0;1.0;2.0;1.00135;1.1177;1.14282
3462.0;936.0;218.0;41.0;20/05/2024;13:17:36;20/05/2024;17:00:51;2134.0;"1920;1200";1.0;18.0;0.0;2.0;1.0;;1.0;1963.0;11.0;;3.0;5.0;1.0;1.0;0.0;4.0;30.0;13:20:39;3.0;2.0;4.0;4.0;5.0;5.0;4.0;4.0;2.0;2.0;3.0;3.0;2.0;2.0;2.0;2.0;3.0;5.0;2.0;5.0;4.0;5.0;3.0;1.0;1.0;2.0;2.0;2.0;4.0;2.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;2.0;3.0;3.0;10.0;1.0;1.0;4.0;6.0;1.0;2.0;183.0;73.0;1.0;1.0;2.0;1.0;1.0;3.0;2.0;1.0;2.0;;4.0;13:33:42;2.0;3.0;5.0;3.0;4.0;8.0;1.0;4.0;;;1.0;;1.0;;1.0;5412.0;4.0;3.0;;3.0;1.0;1.0;17.0;17.0;2.0;;1.0;3.0;2.0;;;1.0;2.0;;1.0;2330.0;85.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;7.0;;3.0;;;;;;;;;;;;;;;;;;;6.0;0.0;0.0;2.0;1.0;1.0;0.0;8.0;7.0;5.0;8.0;2.0;1.0;1.0;1.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;5.0;16:59:22;2.0;1.0;;;3.0;;;;;;;;;;;;;;;;N.P.;20.0;5.0;24.0;1.0;36.0;3.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;60.0;4.5;3.0;5.0;;7.0;2.0;4.0;7.0;12.0;;;;;3.0;1.0;1.0;4.0;1.00135;1.1177;0.94504
3462.0;952.0;227.0;41.0;20/05/2024;15:57:44;20/05/2024;16:42:12;2666.0;"820;1180";1.0;11.0;0.0;2.0;1.0;;2.0;2004.0;6.0;;4.0;5.0;0.0;0.0;1.0;98.0;98.0;16:00:04;1.0;3.0;5.0;8.0;5.0;3.0;5.0;1.0;2.0;1.0;8.0;8.0;1.0;2.0;2.0;3.0;3.0;8.0;3.0;3.0;3.0;5.0;4.0;1.0;1.0;3.0;2.0;2.0;3.0;1.0;3.0;8.0;2.0;2.0;3.0;1.0;1.0;3.0;1.0;3.0;3.0;3.0;4.0;4.0;2.0;10.0;1.0;2.0;1.0;6.0;2.0;2.0;160.0;62.0;8.0;1.0;4.0;4.0;4.0;3.0;1.0;2.0;1.0;;;16:22:22;3.0;2.0;77.0;98.0;99.0;10.0;1.0;11.0;;;1.0;;1.0;;3.0;;3.0;1.0;9112.0;6.0;2.0;1.0;12.0;8.0;2.0;;1.0;8.0;2.0;;;1.0;2.0;;2.0;5142.0;96.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;;2.0;14.0;3.0;;;;;;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;5.0;;1.0;;;;;1.0;1.0;6.0;1.0;1.0;98.0;98.0;1.0;98.0;2.0;96.0;3.0;3.0;3.0;;;;;;;;;1.0;2.0;;;;;;;;;1979.0;1979.0;;;;;;;;;4.0;97.0;2.0;16:41:18;3.0;2.0;;;3.0;;;;;;;;;;;;;;;;N.P.;20.0;5.0;24.0;1.0;45.0;3.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;19.0;98.0;6.0;;9.0;6.0;5.0;4.0;5.0;13.0;6.0;;;5.0;0.0;2.0;98.0;3.0;1.00135;1.1177;1.21153
3462.0;707.0;229.0;41.0;16/05/2024;22:56:58;16/05/2024;23:31:09;2048.0;"393;873";1.0;29.0;0.0;2.0;1.0;;1.0;1962.0;8.0;;4.0;4.0;1.0;0.0;0.0;2.0;99.0;22:58:18;3.0;1.0;5.0;3.0;5.0;4.0;2.0;2.0;2.0;3.0;3.0;3.0;8.0;2.0;2.0;2.0;4.0;3.0;1.0;4.0;5.0;6.0;1.0;3.0;3.0;3.0;3.0;5.0;5.0;3.0;4.0;2.0;3.0;4.0;3.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;3.0;1.0;98.0;2.0;2.0;8.0;6.0;3.0;1.0;172.0;998.0;1.0;1.0;8.0;1.0;1.0;3.0;1.0;2.0;1.0;;;23:15:43;2.0;1.0;0.0;6.0;10.0;10.0;1.0;29.0;;;1.0;;1.0;;2.0;9998.0;2.0;3.0;;1.0;1.0;1.0;6.0;8.0;2.0;;1.0;3.0;1.0;8.0;35.0;1.0;2.0;;1.0;9629.0;42.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;6.0;2.0;;1.0;2.0;5223.0;47.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;;3.0;0.0;0.0;1.0;1.0;2.0;1.0;8.0;7.0;5.0;7.0;0.0;1.0;4.0;1.0;2.0;2.0;1.0;;;;;;;;;;2.0;;;;;;;;;;1963.0;;;;;;;;;;5.0;4.0;3.0;23:30:40;3.0;2.0;;;3.0;;;;;;;;;;;;;;;;N.P.;16.0;5.0;24.0;4.0;35.0;5.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;61.0;2.0;6.0;98.0;;3.0;9.0;3.0;1.0;9.0;3.0;5.0;4.0;3.0;2.0;2.0;4.0;2.0;1.00135;1.1177;1.27446
3462.0;524.0;233.0;41.0;15/05/2024;17:13:06;15/05/2024;17:58:07;2697.0;"390;844";1.0;41.0;0.0;2.0;1.0;;2.0;1947.0;3.0;;4.0;1.0;;;;;;17:15:35;3.0;3.0;4.0;3.0;5.0;4.0;5.0;3.0;2.0;3.0;3.0;3.0;3.0;2.0;3.0;2.0;4.0;4.0;2.0;2.0;4.0;6.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;3.0;3.0;3.0;5.0;5.0;3.0;4.0;3.0;4.0;1.0;2.0;2.0;2.0;2.0;1.0;1.0;10.0;1.0;1.0;5.0;6.0;4.0;1.0;160.0;75.0;2.0;1.0;4.0;1.0;2.0;3.0;1.0;2.0;2.0;;;17:39:50;3.0;2.0;98.0;98.0;99.0;8.0;1.0;41.0;;;1.0;;1.0;;2.0;9211.0;1.0;3.0;;1.0;2.0;1.0;1.0;;;;;;3.0;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;7.0;;1.0;1.0;2.0;;1.0;2.0;6111.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;7.0;;3.0;0.0;0.0;3.0;1.0;2.0;1.0;8.0;3.0;2.0;5.0;6.0;2.0;;1.0;2.0;2.0;1.0;;;;;;;;;;1.0;;;;;;;;;;1943.0;;;;;;;;;;3.0;1.0;4.0;17:56:21;3.0;8.0;;;1.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;;;;;;;;;N.P.;15.0;5.0;24.0;3.0;45.0;3.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;77.0;;2.0;9.0;;1.0;;;7.0;12.0;1.0;6.0;1.0;7.0;4.0;2.0;90.0;1.0;1.00135;1.1177;1.96783
3462.0;2117.0;235.0;34.0;N.P.;N.P.;N.P.;N.P.;;N.P.;1.0;4.0;0.0;2.0;1.0;;1.0;1965.0;9.0;;3.0;4.0;1.0;1.0;0.0;3.0;30.0;N.P.;4.0;3.0;5.0;3.0;4.0;3.0;3.0;1.0;4.0;2.0;3.0;3.0;3.0;1.0;2.0;1.0;2.0;4.0;3.0;2.0;2.0;8.0;5.0;4.0;1.0;4.0;8.0;3.0;3.0;8.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;1.0;1.0;3.0;3.0;3.0;2.0;3.0;5.0;10.0;2.0;1.0;6.0;5.0;3.0;1.0;169.0;72.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;9.0;9.0;;;N.P.;3.0;2.0;77.0;4.0;9.0;6.0;1.0;4.0;;;1.0;;1.0;;1.0;9312.0;2.0;3.0;;2.0;1.0;7.0;3.0;998.0;1.0;7.0;1.0;3.0;2.0;;;1.0;9.0;;9.0;3119.0;71.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;3.0;;;;;;;;;;;;;;;;;;;1.0;;;;;2.0;1.0;4.0;8.0;98.0;98.0;98.0;1.0;97.0;1.0;2.0;2.0;4.0;;;;;;;;;;2.0;;;;;;;;;;1957.0;;;;;;;;;;77.0;77.0;2.0;N.P.;3.0;2.0;;;3.0;;;;;;;;;;;;;;;3.0;13/06/2024;13.0;6.0;24.0;4.0;;;1.0;0.0;0.0;0.0;1.0;;;0.0;0.0;1.0;58.0;3.5;2.0;9.0;;2.0;3.0;4.0;2.0;16.0;;;;;0.0;2.0;97.0;1.0;1.00135;1.1177;0.64896
